author,genre,link,name,rating,viewed
Ireunkkot,"Teava,이른꽃,티바,Drama,Fantasy,Romance","Blondina, a princess who had commoner’s blood, lived quietly in a separate palace. Due to her mixed blood, she received ill-treatment and was surrounded with contempt. One day, she happened upon a wounded black cat and decided to treat it.",I Raised The Beast Well,4.84,"4,061,162"
Yuin,"Fantasy,One shot,Romance,Shoujo","In the distant past, I was cursed by my dealings with the world. Over the next 1,000 years, I lived an endless life. There isn’t a single life I haven’t experienced. I have been the most noble and humble person in the world, I have become a beggar, I have been revered as a saint, and I have been burned as a witch. And after my most miserable and painful life, I thought of it all again. ‘It’s all bothering me now—I’d like to take a break, please. I’ve decided to live a life of a lazy sloth this time, but why are people still bothering me? Let me get some rest.’ Her story of wanting to rest!",The Lady Wants To Rest (Promo),4.83,"6,054,655"
Kanehito Yamada,"Abe Tsukasa,Adventure,Drama,Fantasy,Shounen,Slice of life","Frieren is a member of the hero's party that defeated the demon king. Both a magician and an elf, there is something that separates her from the other three members.",Sousou No Frieren,4.87,"4,488,718"
Suji,"Romance,Shounen ai,Slice of life,Manhua","He, a boy band idol who appeared to be a cold beauty, actually struggled to restrain himself to stay in character. He, a young and innocent cute boy on the outside, was actually completely different from that… despite looking down on each other, and contending with each other in every possible situation, they were compelled to pair up in order to achieve the popularity that they needed?! Hm, it really is a slap in the face.",Prejudice,2.67,"24,256"
Nohara Mosae,"Action,Adventure,Drama,Historical,Horror,Mystery,Psychological,Tragedy","This work is a story about a boy, Rwanda, whose mother is a vicious murderer, set in England at the end of the 19th century. Rwanda, who has long been confined in the basement, grew up and left the house after a certain incident. Eventually, he arrived at the town and was picked up by a staff member of the nursing home and decided to live in the facility. But peaceful everyday life is only boring for Rwanda…",From The Red Fog,3.67,"858,342"
Hong Pil,"Comedy,Romance,School life,Webtoons,Manhwa",A youthful romance for those who think they are unhappy..,How To Open A Triangular Riceball,4.55,"1,143,633"
Pikapi,"Adventure,Comedy,Harem,Martial arts","Using the Black Technology System, the protagonist enters a world of knowledge, where he improves his learning efficiency by a factor of one billion! He becomes the smartest human in existence, gets rich using his super brain… and experiences the loneliness of being a leader.",The Overachiever’S Black Tech System,4.46,"16,561,985"
二次元动漫,"Action,Adventure,Fantasy","The family elders, fighting for the right to exploit the mines, sent someone to crush his dantian, and became an abandoned son of the Ye family. However, he accidentally entered the Tower of Boundless Hell because of his mother’s bleeding ring and was instructed by a mysterious person to cultivate the Dao of the sword, which no one had ever cultivated before. Ye family abandoned son Ye Xuan: “I must become strong so that I can protect my sister and take back everything I lost in the Ye family.” Mysterious woman: “Follow me and I’ll make you the strongest swordsman in all the heavens.” With the help of the mysterious woman, could Ye Xuan become the strongest swordsman in the realm of the heavens?",One Sword Reigns Supreme,4.54,"7,672,991"
Fengling Tianxia,"Action,Adventure,Harem,Webtoons","Jun Xie was the number one assassin in modern earth. His skills and knowledge in the field of assassination were unparalleled, his accomplishments unprecedented, his reputation terrified the entire underworld. However, during a mission to retrieve a mystical treasure, a mishap occurred… He is now Jun Moxie, a sixteen year old super level debauchee, sole heir to the declining Jun family. A family of valiant heroes, left with an old grandpa, a crippled uncle and a debauchee as the sole heir! Accepting the world’s criticism and cold stares with a smile, his new journey begins! His life will be carved by his own will! Rise to the top! Evil Monarch Jun Xie! “This cup I toast to those I’ve killed in my past life. Forgive me, for there is no chance for you to have revenge. Gulp!” “This cup I toast to those whose life I will take in my new life. Forgive me, for you are fated to die by my hands. Cheers!”",Otherworldly Evil Monarch,4.57,"7,229,367"
Jomill,"Km,Mint,Fantasy,Romance,Shoujo","My Three Tyrant Brothers summary is updating. Come visit MangaNato.com sometime to read the latest chapter of My Three Tyrant Brothers. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",My Three Tyrant Brothers,4.64,"1,877,386"
解文轩,"Action,Adventure","High risk comes with high reward, carrying gold by himself from the post-apocalyptic world, and become rich? No? Wang Bin has a smarter way to get even richer, find an ally to help him carry more gold from the post-apocalyptic world, after one trip he can become a billionaire! Even so, it is dangerous, the post-apocalyptic world is filled with zombies, and the survivors there can be scarier than the zombies because, for the sake of living, they can do anything, they are 100 times scarier than a zombie!",I Am Carrying Gold From The Post-Apocalyptic World,4.47,"5,647,038"
Heyum,"Drama,Historical,Josei,Romance,Supernatural,Webtoons,Manhwa","A man whose time has stopped, and a woman who flows like a river. Story about strife that comes and goes in the past and in the present.",The Moon That Rises In The Day,4.55,"3,305,545"
Han Seram,"Drama,Fantasy,Historical,Romance,Shoujo","“The Duchess of Gernoa de Lantera,” attracts attention from high society. But she’s a fake! Her real name is Larissa. A girl who used to run street vendors in the market for families in poverty.",The Fake Princess’ Op Bunny,4.84,"2,791,894"
Flow / Hash,"Drama,Fantasy,Romance,Shoujo,Webtoons,Manhwa","Adopted by the abusive Count Zackary, Hailynn is imprisoned for over a decade but a tragedy sets her back in time and she's now eight years old again! Eager to escape the horrors of her previous life, Hailynn runs away and crosses paths with a brave boy and the protective Duke Callisto. When a magical potion reveals she belongs to the powerful Callisto bloodline, the chaste Duke swears she can't be his! What is the secret behind Hailynn's birth? And will she ever find a family that'll love her?",Am I Your Daughter?,4.38,"2,839,529"
橙漫堂,"Action,Fantasy","A generation of traversers came to the city, originally preparing to live a life of obscurity, but one by one troublesome things broke in, making it difficult for him to keep a low profile! He can only be forced to pretend to slap his face and see how Chen Yuan plays in the city!",Vengeance Of The Reawakened Sword God,4.18,"1,062,656"
Unknown,"Action,Adventure,Fantasy,Martial arts,Webtoons","I was once the Supreme God of Physique, standing tall above others. However, I was betrayed by those whom I thought of as my most trustworthy friends. They had schemed against me in an attempt to kill me, which was almost successful. Fortunately, a fraction of my soul had managed to escape into the body of a seriously injured child giving me another chance at life, and revenge.",Shenwu Tianzun,4.49,"14,261,165"
Warring Young Seven,"战七少 战七少,Romance,School life,Shoujo,Supernatural,Webtoons","Fu Jiu appears to be a normal lad in high school on the surface. But in fact, she (Yes! She!) is the hacker, Z, a villain-terminator in the online world of an alternate world. Having reincarnated into the body of a woman and being forced to disguise herself as a young man, she reigns over the game world, fights for justice, and puts a spell on all the girls around with her innate charm. However, her flirting comes across as gay to the rich Almighty Qin and his inner circle. Over time, the Almighty Qin falls for him… her. Has he turned gay for him… her? Now, that’s confusing!",National School Prince Is A Girl,4.75,"7,004,313"
老鹰吃小鸡,"Action,Adventure,Comedy","Rebirth is just a starting point from reaching the peak. Intruding crypt, the rise of martial arts",Global Martial Arts,4.67,"7,732,189"
Updating,"Drama,Ecchi,Josei,Romance,Slice of life,Smut,Webtoons,Manhwa","Chae-yi ended up staying at the home of Gun-woo, a close friend who had eloped with his girlfriend to avoid a family custom. As she enjoyed her solitary hours, soaking in the bathtub watching the Manhattan night scene, she didn't know that a man was approaching her ... - ""You approached Noh Jae-hyuk to jump into bed with him, didn't you?"" - ""That's the most ridiculous thing I've ever heard!"" - ""Does that sound like a lie to you?""",One More Time,4.25,"844,508"
Future Days Media,"Action,Fantasy,Martial arts,Shounen","""A teenager holds a pen, while a dragon dances; Chaos surrounds the world, lighting the sky. In this world, will the python swallow the dragon, or will the saint dragon rise?!""",Yuan Zun,4.68,"32,857,206"
Cheomji,"Ha Yaeji,Fantasy,Josei,Romance,Webtoons","Woori is heartbroken when she finds out that her favorite character Lancelot dies tragically in the novel “The Flower Raised her Sword.” She knows too well that the butler suffered from his one-sided love for the heroine Charlotte and even gave his life to avenge her death. So when Woori wakes up in Charlotte’s body, she’s determined to steer sweet Lancelot away from his miserable fate. But with the original Charlotte making a reappearance, as well as the villainous Duke Vestia, things might not be so simple after all. Can Woori guide Lancelot to his happy ending without revealing her true identity?Source of collecting images:bato.to/series/79916Resources:page.kakao.com/home?seriesId=55253524tappytoon.com/en/comics/ladys-butler",The Lady’S Butler,4.77,"5,981,608"
선용민,"Action,Drama","A righteous prosecutor, life reset, punish the villain!!!! A hot-blooded prosecutor, kim hi wu, was murdered and sunk into the ocean while chasing the tyrant who controlled korea. But, Kim Hi Wu, meets a grim reaper who gives him a chance to relive and sends him back to when he was 18 years old. As a high schooler, kim hi wu, prepares to punish the tyrant Jo Tae Sup. “To get the devil, you have to become one”",Again My Life,4.75,"13,478,531"
Yusu Hwan,"Comedy,Fantasy,Gender bender,Romance,Shoujo","The only goal in life for Elise, the princess of the Kingdom of Grandia, is to survive. She was married to the Duke Jin Jo, the madman of Landel. I expected to get love, but he did not even pay attention to her.",Lady Beast,4.53,"5,115,057"
Updating,"Action,Adventure,Comedy,Fantasy,Harem,Romance,School life","Flowers and sisters, beautiful and strong sisters, pure beauty teachers, all cherishing their hugs … Normal high school students, incidentally, get a pen magic, and life has changed since then. Colorful diversity.",School Flower Master,4.12,"5,285,078"
Xiao Qi,"Huo Xing Yin Li,Action,Adventure,Ecchi,Fantasy,Harem","Mythical Abode Mountain, Cloud’s End Cliff, the most dangerous of Azure Cloud Continent’s four deadly areas. Cloud’s End Cliff’s base is known as the Grim Reaper’s Cemetery.",Against The Gods,4.46,"36,339,595"
Updating,"Action,Romance","A kind guy who has strived to make himself into his crush's ideal type of guy over ten years. But! One day, she says that she likes bad boys…From today onwards, I'm… going to be reborn as a bad boy.",A Bad Person,4.26,"514,276"
Zhiniao Village (Original),"Action,Adventure","Ling Ran, whose goal is to become the world's greatest doctor, suddenly obtained the golden finger system! And this is a system with a high degree of medical expertise! With the help of the system, what medical height can the intern Ling Ran reach?",Great Doctor Ling Ran,4.76,"4,511,047"
Lee Jae Heon,"Gugis,Jeondongjo,Fantasy,Webtoons","As the master of the School of Unholy Arts and as the undefeated Unmasked Demon, MookHyang unfortunately falls to a strange fantasy world by the magic of his enemies (School of Blood Arts). In the new world of elf, sorcerer, knight, and dragon, MookHyang’s adventure of finding a way back to his old world (Murim) unfolds.",Mookhyang - Dark Lady,4.15,"18,948,641"
Fireworks Becomes A City,"Action,Adventure,Fantasy,Sci fi","When the end of the world came, in the hopeless darkness, Gu Qingshan broke away from time and space, and returned to the world before it collapsed, determined to change his fate. But as time went on, he gradually realized that the apocalypse is not as simple as it seemed…",World’S Apocalypse Online,4.84,"1,569,801"
Son Ji Eun,"Drama,Fantasy,Psychological","‘We’ll give you an apple tree in exchange for borrowing your child for 48 days.’ A traditional fantasy depicting Manet going on an adventure to search for their missing younger sibling Nox, who disappeared along with the strange letter.",From Morning To Night,4.5,"130,531"
黎色_,"Fantasy,Romance","Wang Zi Yan, a University student, has always had a body different from everyone else’s. When his body is touched by moonlight, he will become invisible. One night, after getting off work, he uses this ability to save a woman. That’s how an uncontrollable love story started! A soft and cute boy VS a rich, confident woman, how will this love story turn out?",Your Ghost Boy,4.33,"160,595"
Lee Reunbom,"Drama,Harem,Josei,Mystery,Romance,Slice of life,Supernatural","An owner of a wedding boutique <Honey Bouche>, Hong Nanyi. After breaking up with an old car she thought of marrying before, she later meets a Benz at someone else’s wedding. That’s when the three men appear. Three men who used to work as designers for underwear, bouquets, and shoes turned out to be gods. At night, they become Moonlight Reapers who binds people into marriage by a red thread to fulfill their work. What did they look like in her past life? Who will stay by her side in this life? This is a love story between three men and a woman.",Red Thread Gods,4.17,"433,311"
Kirty,"Limejeongwon,Comedy,Romance,Shoujo","Geum Aji doesn’t want to be secretary to young, handsome CEO Cha Do-hwan. She’s been forced into the job by her uncle, and her parents have explicitly forbidden her from resigning voluntarily. Meanwhile, Do-hwan doesn’t want quirky, honest Geum Aji as his secretary, but he has his own reasons for not being able to fire her. Things get even more complicated when they have a drunken one night stand on Aji’s first day at work. Aji wants to be fired. Do-hwan wants her to resign. Who will be the one to give in first? Or will they give in to an entirely different kind of desire?",Fire Me If You Can,4.59,"375,404"
Dur,"Woo Ji Hye,Comedy,Drama,Romance,School life,Slice of life,Webtoons","“Fine! I'll start dating then!!” Dohee has a crush on childhood friend Jaehyuk. But in order to distance herself from him, she has decided to start dating others when the handsome lunatic Wonyoung appears! Wonyoung's constant antics slowly start to rub off on Dohee… will Dohee be able to start a relationship in her eventful campus life?",Today Living With You,4.69,"361,973"
Kentaro Mikashima,"Comedy,Romance,School life,Supernatural","Like an RPG character, Dannoura Choushi possesses a constitution that allows him to respawn at the last place he slept whenever he dies. When he saves Yamazaki An's life, she falls madly in love with him. Will he able to respond to her heavy love? The curtain opens on a sinister, yandere comedy.",Odoru Respawn,4.67,"420,410"
Akamatsu Chuugaku,"Koyoka Yoshino,Action,Comedy,Drama,Ecchi,Harem,Romance,School life,Seinen,Supernatural","Tokyo Butei High school--- It was a special school where armed detectives, also known as ""Butei"" are being brought up. Tohyama Kinji is a sophomore student who has the unique body which activates a ""super mode"" when it was stimulated by ""something"". He tries to hide it to others in order to live a peaceful life. But trouble came to find him when he became a victim of a bombing incident, where he met the Butei high ""Assault"" department elite, Aria H. Kanzaki.",Hidan No Aria,4.61,"3,568,216"
